Time Period: 52 Weeks (2025-03-17 to 2026-03-19)
Final Value: $181,338.81
Total Trades: 519
Overall Strat: +81.34%
Overall DUOL: -65.30%
Alpha: +146.64%

📊 WEEKLY BREAKDOWN
------------------------------------------------
Week Starting  |  DUOL Return |  Strat Return
------------------------------------------------
2025-03-17     |       +8.47% |        +7.63%   
2025-03-24     |       -5.46% |        +7.38% ⭐
2025-03-31     |       -8.84% |        -0.91% ⭐
2025-04-07     |      +18.36% |        -5.87%   
2025-04-14     |       -0.94% |       -10.08%   
2025-04-21     |      +19.95% |        -3.15%   
2025-04-28     |      +26.72% |        +3.52%   
2025-05-05     |       +4.75% |        +0.14%   
2025-05-12     |       +1.49% |        -1.33%   
2025-05-19     |       -1.33% |        -3.26%   
2025-05-27     |       +1.95% |        +0.44%   
2025-06-02     |       -5.96% |        -1.36% ⭐
2025-06-09     |       -2.52% |        +1.31% ⭐
2025-06-16     |       -4.00% |        +0.06% ⭐
2025-06-23     |       -9.94% |        +2.15% ⭐
2025-06-30     |       -6.76% |        +4.55% ⭐
2025-07-07     |       -4.51% |        -1.82% ⭐
2025-07-14     |       -1.58% |        -0.25% ⭐
2025-07-21     |       -1.57% |        -2.65%   
2025-07-28     |       -4.13% |        +3.50% ⭐
2025-08-04     |       +7.40% |       +27.13% ⭐
2025-08-11     |       -4.43% |        -0.03% ⭐
2025-08-18     |       -5.72% |        -3.25% ⭐
2025-08-25     |      -11.43% |        +0.08% ⭐
2025-09-02     |       -8.41% |        +1.41% ⭐
2025-09-08     |      +12.00% |        +1.35%   
2025-09-15     |       -3.62% |       -10.60%   
2025-09-22     |      +11.82% |        +0.87%   
2025-09-29     |       -2.89% |        +9.23% ⭐
2025-10-06     |       +2.78% |        +0.64%   
2025-10-13     |       -3.60% |        +0.62% ⭐
2025-10-20     |       -0.63% |        +2.82% ⭐
2025-10-27     |      -12.09% |        +7.45% ⭐
2025-11-03     |      -28.69% |       +20.06% ⭐
2025-11-10     |       -9.28% |        +7.52% ⭐
2025-11-17     |       -4.39% |        +0.60% ⭐
2025-11-24     |      +10.84% |        +0.72%   
2025-12-01     |       +6.85% |        -2.30%   
2025-12-08     |       -3.22% |        +9.77% ⭐
2025-12-15     |       -5.45% |        +3.32% ⭐
2025-12-22     |       -2.36% |        +0.15% ⭐
2025-12-29     |       +5.13% |        -6.96%   
2026-01-05     |      -11.65% |        +0.09% ⭐
2026-01-12     |       -8.77% |        +8.02% ⭐
2026-01-20     |       -1.36% |        +4.49% ⭐
2026-01-26     |      -10.27% |        +2.39% ⭐
2026-02-02     |      -13.97% |        -8.19% ⭐
2026-02-09     |       -4.41% |        +1.44% ⭐
2026-02-17     |       -4.27% |       -10.27%   
2026-02-23     |       -7.40% |        +1.59% ⭐
2026-03-02     |       +2.52% |        -7.94%   
2026-03-09     |       -1.31% |        +5.97% ⭐
2026-03-16     |       +3.05% |        +2.27%   
